"model";"AIC";"BIC";"AICc";"RMSE"
"ARIMA(1,2,0)(0,1,1)_12";984.691170336763;991.436656062912;985.0548067004;209.771911603291
"ARIMA(0,2,1)(0,1,1)_12";984.72187047221;991.467356198359;985.085506835847;213.45689050058
"ARIMA(0,2,0)(0,1,1)_12";985.826702450418;990.323692934516;986.00580692803;217.951933015962
"ARIMA(1,2,1)(0,1,1)_12";986.539729368126;995.533710336323;987.15511398351;213.711300168509
"ARIMA(0,2,2)(0,1,1)_12";986.702769213479;995.696750181676;987.318153828864;213.384798697494
"ARIMA(2,2,0)(0,1,1)_12";986.758823092143;995.752804060341;987.374207707528;214.183820343024
"ARIMA(0,2,1)(1,1,1)_12";986.792138274831;995.786119243029;987.407522890216;217.155302070851
"ARIMA(1,2,0)(1,1,1)_12";986.851435609635;995.845416577833;987.46682022502;217.37287337303
"ARIMA(0,2,0)(1,1,1)_12";987.574685320569;994.320171046717;987.938321684205;221.150340825655
"ARIMA(2,2,1)(0,1,1)_12";988.078056433565;999.320532643812;989.015556433565;207.946288788507
"ARIMA(1,2,2)(0,1,1)_12";988.297849039476;999.540325249723;989.235349039476;212.92826419004
"ARIMA(1,2,1)(1,1,1)_12";988.608845522321;999.851321732568;989.546345522321;217.361116516068
"ARIMA(0,2,2)(1,1,1)_12";988.769045191058;1000.0115214013;989.706545191058;217.168846387994
"ARIMA(2,2,0)(1,1,1)_12";988.850694506527;1000.09317071677;989.788194506527;217.378413148207
"ARIMA(2,2,2)(0,1,1)_12";989.404553882711;1002.89552533501;990.737887216044;210.746432366038
"ARIMA(2,2,1)(1,1,1)_12";990.271502812442;1003.76247426474;991.604836145776;216.295536764074
"ARIMA(1,2,2)(1,1,1)_12";990.396842045754;1003.88781349805;991.730175379087;216.631280399245
"ARIMA(0,2,1)(1,1,0)_12";990.976910533195;997.722396259343;991.340546896831;234.349620019046
"ARIMA(0,2,0)(1,1,0)_12";990.997927320371;995.49491780447;991.177031797983;237.577917366953
"ARIMA(1,2,0)(1,1,0)_12";991.065918962935;997.811404689083;991.429555326571;234.599233454242
"ARIMA(2,2,2)(1,1,1)_12";991.600453975895;1007.33992067024;993.406905588799;215.856387287396
"ARIMA(1,2,1)(1,1,0)_12";992.32584500828;1001.31982597648;992.941229623664;233.206194892731
"ARIMA(0,2,2)(1,1,0)_12";992.849501915843;1001.84348288404;993.464886531228;234.035897507998
"ARIMA(2,2,0)(1,1,0)_12";993.064968157047;1002.05894912524;993.680352772432;234.615642599793
"ARIMA(2,1,0)(0,1,1)_12";993.382146541746;1002.43286604991;993.988207147807;211.095193014353
"ARIMA(1,1,1)(0,1,1)_12";993.427200661709;1002.47792016987;994.03326126777;210.567389059344
"ARIMA(1,1,0)(0,1,1)_12";993.934847200307;1000.72288683143;994.29305615553;217.295709805737
"ARIMA(2,2,1)(1,1,0)_12";994.259150769871;1005.50162698012;995.196650769871;233.142501250782
"ARIMA(1,2,2)(1,1,0)_12";994.286952284819;1005.52942849507;995.224452284819;233.164569919134
"ARIMA(2,1,0)(1,1,1)_12";995.333014606893;1006.6464139921;996.25609152997;212.924089608411
"ARIMA(2,1,1)(0,1,1)_12";995.348525682072;1006.66192506728;996.271602605149;210.597719804014
"ARIMA(1,1,2)(0,1,1)_12";995.425678160777;1006.73907754598;996.348755083854;210.569371798349
"ARIMA(2,2,2)(1,1,0)_12";995.524086768673;1009.01505822097;996.857420102006;232.45612940245
"ARIMA(1,1,1)(1,1,1)_12";995.588978798028;1006.90237818323;996.512055721105;195.840267321275
"ARIMA(1,1,0)(1,1,1)_12";995.629809927547;1004.68052943571;996.235870533608;219.018858959181
"ARIMA(2,1,2)(0,1,1)_12";996.94350063292;1010.51957989517;998.25600063292;212.664801979773
"ARIMA(2,1,1)(1,1,1)_12";997.280831124637;1010.85691038689;998.593331124637;212.934069737479
"ARIMA(1,1,2)(1,1,1)_12";997.355851823571;1010.93193108582;998.668351823571;212.86756038275
